img/ILSVRC2012_val_00000001.JPEG,0.8536,0.7722,0.5472,65,Yes
img/ILSVRC2012_val_00000002.JPEG,0.5712,0.0504,0.0066,970,No
img/ILSVRC2012_val_00000003.JPEG,0.911,0.8745,0.6806,230,Yes
img/ILSVRC2012_val_00000004.JPEG,0.2218,0.4492,0.1203,809,No
img/ILSVRC2012_val_00000005.JPEG,0.2179,0.0814,0.0293,516,No
img/ILSVRC2012_val_00000006.JPEG,0.0185,0.0128,0.0048,57,No
img/ILSVRC2012_val_00000007.JPEG,0.9124,0.8913,0.3747,334,Yes
img/ILSVRC2012_val_00000008.JPEG,0.7782,0.3862,0.01,415,No
img/ILSVRC2012_val_00000009.JPEG,0.9308,0.9001,0.8591,674,Yes
img/ILSVRC2012_val_00000010.JPEG,0.9099,0.002,1.00E-04,332,No
img/ILSVRC2012_val_00000011.JPEG,0.9242,0.8999,0.8684,109,Yes
img/ILSVRC2012_val_00000012.JPEG,0.9165,0.8928,0.8658,286,Yes
img/ILSVRC2012_val_00000013.JPEG,0.9405,0.9182,0.8921,370,Yes
img/ILSVRC2012_val_00000014.JPEG,0.9675,0.949,0.9218,757,Yes
img/ILSVRC2012_val_00000015.JPEG,0.8708,0.814,0.74,595,Yes
img/ILSVRC2012_val_00000016.JPEG,0.9598,0.9431,0.918,147,Yes
img/ILSVRC2012_val_00000017.JPEG,0.5019,0.0039,0.0005,108,No
img/ILSVRC2012_val_00000018.JPEG,0.9515,0.9233,0.8523,23,Yes
img/ILSVRC2012_val_00000019.JPEG,0.9598,0.9111,0.844,478,Yes
img/ILSVRC2012_val_00000020.JPEG,0.9773,0.8913,0.7759,517,Yes
img/ILSVRC2012_val_00000021.JPEG,0.9776,0.9013,0.8181,334,Yes
img/ILSVRC2012_val_00000022.JPEG,0.1801,0.0372,0.0157,173,No
img/ILSVRC2012_val_00000023.JPEG,0.8997,0.865,0.847,948,Yes
img/ILSVRC2012_val_00000024.JPEG,0.9327,0.9176,0.8981,727,Yes
img/ILSVRC2012_val_00000025.JPEG,0.961,0.8964,0.4505,23,Yes
img/ILSVRC2012_val_00000026.JPEG,0.9908,0.9691,0.9324,846,Yes
img/ILSVRC2012_val_00000027.JPEG,0.9542,0.9304,0.8904,270,Yes
img/ILSVRC2012_val_00000028.JPEG,0.8614,0.2315,0.0076,167,No
img/ILSVRC2012_val_00000029.JPEG,0.9347,0.4577,0.0201,55,No
img/ILSVRC2012_val_00000030.JPEG,0.4447,0.0405,0.0175,858,No
img/ILSVRC2012_val_00000031.JPEG,0.941,0.9189,0.903,324,Yes
img/ILSVRC2012_val_00000032.JPEG,0.9563,0.9113,0.5494,573,Yes
img/ILSVRC2012_val_00000033.JPEG,0.9126,0.8223,0.1966,150,No
img/ILSVRC2012_val_00000035.JPEG,0.9421,0.9107,0.8797,586,Yes
img/ILSVRC2012_val_00000036.JPEG,0.9551,0.9026,0.8486,887,Yes
img/ILSVRC2012_val_00000037.JPEG,0.0086,0.003,0.0018,32,No
img/ILSVRC2012_val_00000038.JPEG,0.9899,0.9429,0.9178,398,Yes
img/ILSVRC2012_val_00000039.JPEG,0.5996,0.3314,0.2206,777,Yes
img/ILSVRC2012_val_00000040.JPEG,0.8204,0.4126,0.3125,74,No
img/ILSVRC2012_val_00000041.JPEG,0.3763,0.2679,0.1334,516,No
img/ILSVRC2012_val_00000042.JPEG,0.2523,0.168,0.0585,756,No
img/ILSVRC2012_val_00000043.JPEG,0.9368,0.9114,0.8788,129,Yes
img/ILSVRC2012_val_00000044.JPEG,0.9484,0.8705,0.0877,198,No
img/ILSVRC2012_val_00000045.JPEG,0.9549,0.8949,0.8369,256,Yes
img/ILSVRC2012_val_00000046.JPEG,0.7847,0.5624,0.315,725,Yes
